,link,brand,price,sales,stars,batteries_included,mini,flight_time,is_fpv,resolution,wifi_freq,wifi,gps,remote_control,portable,helix_protector,autoreturn,full_turn,altitude_retention,dual_camara,distance,follow_func
52,https://articulo.mercadolibre.com.mx/MLM-2241939498-drone-mini-camara-8k-pixel-wifi-control-remoto-luces-led-_JM#position=42&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,sq,590,2,4.0,True,True,True,True,4,2.4,True,False,True,False,False,False,False,False,False,11600,False
53,https://articulo.mercadolibre.com.mx/MLM-1441679003-hoshi-hs107-rc-drone-cuadricoptero-4k-hd-2-camara-2-baterias-_JM#position=39&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,hoshi,1036,100,3.8,True,False,True,True,4,2.4,True,True,True,True,False,False,False,True,True,200,True
54,https://articulo.mercadolibre.com.mx/MLM-1818087807-8k-wifi-mini-drone-con-hd-doble-camara-fpv-3-bateria-_JM#position=16&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,drone,494,100,3.2,True,True,True,True,8,2.4,True,False,True,True,False,False,False,False,False,200,False
55,https://articulo.mercadolibre.com.mx/MLM-2288090820-e88-rc-drone-con-camara-4k-quadcopter-vuelo-autonomo-_JM#position=50&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,generic,449,25,4.0,False,True,True,False,1,2.4,True,True,True,True,False,False,False,False,False,200,False
56,https://articulo.mercadolibre.com.mx/MLM-1439351867-mini-drone-k101max-sensor-antiobstaculos-2-bat-9funciones-_JM#position=47&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,tudrone,1290,100,4.5,True,True,True,False,3,2.4,True,False,True,True,False,False,False,False,False,200,False
57,https://articulo.mercadolibre.com.mx/MLM-1570542703-drone-axnen-l900-pequeno-fpv-con-camara-4k-y-gps-profesional-_JM#position=35&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,axnen,2096,1000,4.3,True,True,True,True,4,5.0,True,True,True,True,False,False,False,False,False,200,False
58,https://articulo.mercadolibre.com.mx/MLM-1792268018-drone-con-camara-hd-quadcopter-4bateria-bolso-de-mano-_JM#position=25&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,one_lower,439,50,2.3,True,True,True,True,2,2.4,True,False,True,False,False,False,False,False,False,200,False
59,https://articulo.mercadolibre.com.mx/MLM-1795475499-mini-drones-con-camara-4k-baratos-e525e88-pro-bateria-_JM#position=21&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,yibai,426,25,4.0,False,True,True,True,4,2.4,True,True,True,True,False,False,False,False,False,200,False
60,https://articulo.mercadolibre.com.mx/MLM-1647020627-camara-dual-hd-dual-con-gps-gd93pro-dron-de-cuatro-ejes-_JM?searchVariation=175881611192#searchVariation=175881611192&position=43&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,general,2985,5,4.0,True,True,True,True,4,2.4,True,True,True,True,False,False,False,False,True,30,False
61,https://articulo.mercadolibre.com.mx/MLM-684236291-drone-vak-1811-reconocimiento-optico-gestos-2-camaras-wifi-_JM#position=49&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,vak,1374,50,4.0,False,True,True,False,4,2.4,True,False,True,True,False,True,True,True,False,200,False
62,https://articulo.mercadolibre.com.mx/MLM-1745518051-4k-wifi-mini-drone-con-hd-doble-camara-fpv-3-bateria-_JM#position=15&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,mini_rone,414,100,3.7,True,True,True,True,4,2.4,True,True,True,True,False,False,False,False,False,200,False
63,https://www.mercadolibre.com.mx/drone-dji-avata-fly-smart-combo-con-camara-4k-negro-1-bateria/p/MLM20919881?pdp_filters=category:MLM149102#searchVariation=MLM20919881&position=8&search_layout=stack&type=product&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,dji,33499,5,4.0,True,False,True,True,4,2.4,True,True,True,False,True,False,False,False,False,3500,False
65,https://articulo.mercadolibre.com.mx/MLM-2321158632-dji-mini-3-fly-more-kit-plus-_JM#position=32&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,dji,5599,50,4.0,False,True,True,False,0,2.4,True,True,False,False,False,False,False,False,False,200,False
66,https://articulo.mercadolibre.com.mx/MLM-2546588570-dji-air-3-fly-more-combo-dji-rc-n2-dron-doble-camara-4k-_JM#position=46&search_layout=stack&type=item&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,dji,27099,5,4.0,True,True,True,True,4,2.4,True,True,True,True,False,False,False,False,False,3000,False
67,https://www.mercadolibre.com.mx/mini-drone-for-ninos-de-camara-de-control-remoto/p/MLM21857128?pdp_filters=category:MLM149102#searchVariation=MLM21857128&position=7&search_layout=stack&type=product&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,generic,1178,5,4.0,True,True,True,True,4,2.0,True,False,True,True,False,False,False,False,False,200,False
68,https://www.mercadolibre.com.mx/mini-drone-wifi-dual-camara-ajustable-4k-hd-fpv-plegable/p/MLM20591468?pdp_filters=category:MLM149102#searchVariation=MLM20591468&position=6&search_layout=stack&type=product&tracking_id=45025d4c-3e0d-46e9-b2af-85262c67a16e,generic,444,1000,3.3,True,True,True,True,4,2.4,True,False,True,True,False,False,False,False,True,200,False
