,Price,Sales,Stars,Marca,Modelo,Unidades por pack,Cantidad de baterías incluidas,Es mini,Tiempo máximo de vuelo,Es FPV,Resolución máxima de la cámara,Con cámara,Frecuencia de funcionamiento del Wi-Fi,Con Wi-Fi,Con GPS,Con control remoto,Page,Línea,Versión,Color,Tipos de drone,Es plegable,Fabricante,Modelo alfanumérico,Ambientes de uso,Con protector de hélices,Con función de auto retorno,Con giro 360,Con retención de altitud,Temperatura mínima de funcionamiento - Temperatura máxima de funcionamiento,Accesorios incluidos,Con cámara dual,Zoom de la cámara,Velocidad máxima,Resistencia al viento,Máxima distancia de vuelo,Máxima altura de vuelo,Cantidad de motores,Duración de la batería,Con función de seguimiento,Es controlado por smartphone,Con modo sin cabeza,Edad mínima recomendada,Duración del producto,Plazo de repuestos o servicio técnico,Tamaño de la pantalla del control remoto,Con control remoto táctil,Es kit,Usos recomendados,Homologación Anatel Nº
30,"1,484",100,4.1,Visuo,XS816 con caja original,1.0,3.0,,20 m,Sí,4K,Sí,,Sí,,Sí,https://www.mercadolibre.com.mx/drone-visuo-xs816-con-caja-original-con-dual-camara-4k-gris-3-baterias/p/MLM18600319?pdp_filters=category:MLM149102#searchVariation=MLM18600319&position=11&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,,,Gris,Aéreo,Sí,,,,Sí,Sí,Sí,Sí,,"4 hélices, 4 protectores de hélices, 1 cable USB, 1 destornillador, 1 manual, 1 caja original",Sí,50 x,,,100 m,,4.0,,Sí,,Sí,14 años,,,,,,,
31,"23,399",5,0.0,DJI,Air 3,1.0,1.0,,,,48 MP,,,,,,https://www.mercadolibre.com.mx/dron-dji-air-3-dji-rc-n2-color-gris/p/MLM25955664?pdp_filters=category:MLM149102#searchVariation=MLM25955664&position=5&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Air,2023,Gris,,,DJI,EB3WBC,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"1,655",500,3.6,Lian Eighty,AMG 7000S,1.0,2800.0,Sí,1 h,Sí,8K,Sí,400 GHz,Sí,Sí,Sí,https://articulo.mercadolibre.com.mx/MLM-1789948171-minidron-plegable-gpscamara-8k3-baterias-una-hora-vuelo-_JM#position=42&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Cuadrióptero,Plegable con Camara,,"drones baratos,drones profesionales,drone 8k",Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"7,662",100,4.6,SJRC,F7 4K Pro,1.0,2.0,,25 m,Sí,4K,Sí,5 GHz,Sí,Sí,Sí,https://www.mercadolibre.com.mx/drone-sjrc-f7-4k-pro-con-camara-4k-gris-5ghz-2-baterias/p/MLM18517747?pdp_filters=category:MLM149102#searchVariation=MLM18517747&position=21&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,,,Gris,Aéreo,Sí,,,,,Sí,,,,"1 bolsa de almacenamiento, 1 cable USB, 4 hélices de repuesto, 1 destornillador",,5 x,,,3 km,,4.0,25 m,Sí,Sí,,,,,,,,,
34,"1,771",500,0.0,Axnen,L900 PRO SE,1.0,2.0,Sí,20 m,Sí,4K,Sí,5 GHz,Sí,Sí,Sí,https://articulo.mercadolibre.com.mx/MLM-2178194272-dron-profesional-axnen-l900-pro-ccamara-4k-gps-2-baterias-_JM#position=41&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,4k,2 Battery,,Aéreo,Sí,,,,,Sí,,Sí,,"1 x USB Charging Cable,4 replacement propellers,1 manual,12 screws,1 screwdriver",,,,,600 m,,,,,,,,5 años,1 años,,,,,
35,"20,999",100,4.3,DJI,Mini 3,1.0,3.0,Sí,47 m,,4K,Sí,,,Sí,Sí,https://www.mercadolibre.com.mx/mini-drone-dji-mini-3-fly-more-combo-plus-con-camara-4k-gris-3-baterias/p/MLM21014378?pdp_filters=category:MLM149102#searchVariation=MLM21014378&position=14&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Mini,Fly More Combo Plus,Gris,Aéreo,Sí,,,,No,,,,,"6 hélices de repuesto, 1 destornillador, 1 bolsa de hombro, 1 cable USB, 1 controlador, 18 tornillos de repuesto, 1 cable de tipo C a tipo-C PD, 1 hub de carga bidireccional",,4 x,,10.7 m/s,10000 m,,4.0,51 m,,,,,,,,,,,
36,714,5,0.0,Generic,RC Drone,,,,,,,Sí,,,,,https://www.mercadolibre.com.mx/dron-s85-rc-con-camara-cuadricoptero-4k-rc/p/MLM21857132?pdp_filters=category:MLM149102#searchVariation=MLM21857132&position=7&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,,,Negro,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,891,5mil,0.0,Axnen,XT9,1.0,3.0,Sí,15 m,No,HD,Sí,2.4 GHz,Sí,No,Sí,https://www.mercadolibre.com.mx/mini-drone-axnen-4k-xt9-3-battery-con-dual-camara-hd-24ghz-3-baterias-oscuro-gris/p/MLM26080871?pdp_filters=category:MLM149102#searchVariation=MLM26080871&position=8&search_layout=stack&type=product&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,4k,3 Battery,Gris oscuro,Aéreo,Sí,,,,,Sí,Sí,Sí,,"1 control remoto, 3 baterías, 1 cable USB, 2 hojas de repuesto, 4 cubiertas de protección, 1 destornillador, 1 manual, 1 bolsa de almacenamiento",Sí,,7 m/s,,100 m,,4.0,15 m,,,Sí,,,,,,,,
38,825,50,0.0,HYTOBP,M,1.0,3.0,Sí,1 h,Sí,4K,Sí,2.4 GHz,Sí,Sí,Sí,https://articulo.mercadolibre.com.mx/MLM-2278762034-mini-drone-4k-drone-con-camara-profesional-control-de-dron-_JM#position=25&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Mini Drone Plegable,HD 1080,,"mini drone,dron por control remoto",Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"12,399",1000,0.0,DJI,Mini 2,1.0,3.0,Sí,31 m,Sí,4K,Sí,,Sí,Sí,Sí,https://www.mercadolibre.com.mx/mini-drone-dji-mavic-mini-2-drdji018-fly-more-combo-con-camara-4k-light-gray-3-baterias/p/MLM16330820?offer_type=BEST_INSTALLMENTS&pdp_filters=category:MLM149102#position=-1&search_layout=stack&type=item&tracking_id=bf3dfce2-4775-455b-87fe-55be1960995c,Mavic,Fly More Combo,Light gray,Aéreo,Sí,DJI,DRDJI018,Exterior,No,Sí,Sí,Sí,0 °C - 40 °C,"3 pares de hélices de repuesto, 1 cable USB-C, 1 protector de cardán, 1 cable USB-C RC, 1 cable lightning RC, 1 cable micro-USB RC, 1 par de palancas de repuesto para control remoto, 18 tornillos de repuesto, 1 destornillador, 1 soporte de hélice, 1 hub de carga, 1 cargador USB, 1 bolsa de hombro",No,4 x,16 m/s,10.5 m/s,10 km,4000 m,4.0,,,,,,,,,,,,
